latitude,longitude,elevation,datetime,elapsed_time_seconds,geometry,previous_geometry,distance_since_previous
40.708848,-74.000431,30.4,2023-07-25 12:52:28+00:00,628.0,POINT (984130.5078240543 197528.93060999623),POINT (984157.4003919456 197501.97006107512),38.07993442634285
40.708928,-74.000529,30.1,2023-07-25 12:52:29+00:00,629.0,POINT (984103.338085352 197558.07717160115),POINT (984130.5078240543 197528.93060999623),39.846163611371125
40.70899,-74.000627,29.7,2023-07-25 12:52:30+00:00,630.0,POINT (984076.1683649287 197580.66582093787),POINT (984103.338085352 197558.07717160115),35.33328157328248
40.70905,-74.000736,29.4,2023-07-25 12:52:31+00:00,631.0,POINT (984045.9490139523 197602.5258659616),POINT (984076.1683649287 197580.66582093787),37.297060767230704
40.709139,-74.000844,29.1,2023-07-25 12:52:32+00:00,632.0,POINT (984016.0070621129 197634.95152102548),POINT (984045.9490139523 197602.5258659616),44.13551388930452
40.709222,-74.000937,28.8,2023-07-25 12:52:33+00:00,633.0,POINT (983990.2238035607 197665.19118749723),POINT (984016.0070621129 197634.95152102548),39.73932372213064
40.709314,-74.001028,28.4,2023-07-25 12:52:34+00:00,634.0,POINT (983964.995131944 197698.70984676332),POINT (983990.2238035607 197665.19118749723),41.95219172513493
40.709392,-74.001129,27.9,2023-07-25 12:52:35+00:00,635.0,POINT (983936.9940471667 197727.1279456502),POINT (983964.995131944 197698.70984676332),39.89547710016055
40.709481,-74.001232,27.3,2023-07-25 12:52:36+00:00,636.0,POINT (983908.4386014024 197759.55371696278),POINT (983936.9940471667 197727.1279456502),43.206991656547636
40.709558,-74.001325,26.7,2023-07-25 12:52:37+00:00,637.0,POINT (983882.6555760104 197787.6075178424),POINT (983908.4386014024 197759.55371696278),38.10223277136692
40.709641,-74.001423,26.1,2023-07-25 12:52:38+00:00,638.0,POINT (983855.4864419228 197817.84735001935),POINT (983882.6555760104 197787.6075178424),40.6522975630513
40.709718,-74.001519,25.6,2023-07-25 12:52:39+00:00,639.0,POINT (983828.8718183611 197845.9012221146),POINT (983855.4864419228 197817.84735001935),38.66985811803898
40.709798,-74.001621,25.1,2023-07-25 12:52:40+00:00,640.0,POINT (983800.5938359813 197875.04814498313),POINT (983828.8718183611 197845.9012221146),40.61018837896454
40.709878,-74.001719,24.5,2023-07-25 12:52:41+00:00,641.0,POINT (983773.4248804554 197904.19507930972),POINT (983800.5938359813 197875.04814498313),39.845902236121965
40.709964,-74.001816,23.9,2023-07-25 12:52:42+00:00,642.0,POINT (983746.5332748689 197935.52801983833),POINT (983773.4248804554 197904.19507930972),41.29057535551756
40.710045,-74.001916,23.4,2023-07-25 12:52:43+00:00,643.0,POINT (983718.8099817516 197965.03935761334),POINT (983746.5332748689 197935.52801983833),40.4907401579117
40.71013,-74.002013,22.9,2023-07-25 12:52:44+00:00,644.0,POINT (983691.9185056323 197996.00802909117),POINT (983718.8099817516 197965.03935761334),41.01475467409628
40.710208,-74.002112,22.5,2023-07-25 12:52:45+00:00,645.0,POINT (983664.4725599336 198024.42643250423),POINT (983691.9185056323 197996.00802909117),39.50804459660214
