latitude,longitude,elevation,datetime,elapsed_time_seconds,geometry,previous_geometry,distance_since_previous
40.693552,-73.979158,8.1,2023-07-25 12:42:19+00:00,19.0,POINT (990029.6459041832 191956.82932471973),POINT (990033.5281243722 191957.19457818376),3.8993645238089387
40.69355,-73.979171,8.1,2023-07-25 12:42:20+00:00,20.0,POINT (990026.0410781482 191956.0998083986),POINT (990029.6459041832 191956.82932471973),3.677902228885572
40.693549,-73.979185,8.1,2023-07-25 12:42:21+00:00,21.0,POINT (990022.1588576682 191955.73455613336),POINT (990026.0410781482 191956.0998083986),3.8993647011615686
40.693548,-73.979199,8.1,2023-07-25 12:42:30+00:00,30.0,POINT (990018.2766370751 191955.36930449074),POINT (990022.1588576682 191955.73455613336),3.899364755383446
40.693546,-73.979213,8.1,2023-07-25 12:42:31+00:00,31.0,POINT (990014.3945028146 191954.6397240444),POINT (990018.2766370751 191955.36930449074),3.9500954474787813
40.693545,-73.979227,8.1,2023-07-25 12:42:32+00:00,32.0,POINT (990010.5122819301 191954.27447364703),POINT (990014.3945028146 191954.6397240444),3.8993649289625387
40.693557,-73.979269,8.1,2023-07-25 12:42:33+00:00,33.0,POINT (989998.8643252219 191958.64366762247),POINT (990010.5122819301 191954.27447364703),12.440448202190789
40.693567,-73.979318,8.2,2023-07-25 12:42:34+00:00,34.0,POINT (989985.27539177 191962.28374992864),POINT (989998.8643252219 191958.64366762247),14.068024436867416
40.693576,-73.979379,8.3,2023-07-25 12:42:35+00:00,35.0,POINT (989968.3588577497 191965.5587268382),POINT (989985.27539177 191962.28374992864),17.23062961749617
40.693587,-73.979436,8.3,2023-07-25 12:42:36+00:00,36.0,POINT (989952.5513872312 191969.562634755),POINT (989968.3588577497 191965.5587268382),16.30666743390364
40.693601,-73.9795,8.3,2023-07-25 12:42:37+00:00,37.0,POINT (989934.8025140185 191974.65908691124),POINT (989952.5513872312 191969.562634755),18.466085803495698
40.693607,-73.97957,8.4,2023-07-25 12:42:38+00:00,38.0,POINT (989915.3904837645 191976.840528468),POINT (989934.8025140185 191974.65908691124),19.534216284476237
40.693602,-73.979644,8.4,2023-07-25 12:42:39+00:00,39.0,POINT (989894.8701587592 191975.01410398277),POINT (989915.3904837645 191976.840528468),20.601445694970614
40.693587,-73.979721,8.5,2023-07-25 12:42:40+00:00,40.0,POINT (989873.5187517506 191969.5442099158),POINT (989894.8701587592 191975.01410398277),22.040923808920102
40.69358,-73.9798,8.5,2023-07-25 12:42:41+00:00,41.0,POINT (989851.6120478993 191966.98884216612),POINT (989873.5187517506 191969.5442099158),22.055239240705525
40.693592,-73.979867,8.5,2023-07-25 12:42:42+00:00,42.0,POINT (989833.031439078 191971.35651798965),POINT (989851.6120478993 191966.98884216612),19.087053629816808
40.693581,-73.979946,8.6,2023-07-25 12:42:43+00:00,43.0,POINT (989811.1250662439 191967.34386902303),POINT (989833.031439078 191971.35651798965),22.27084467362143
40.693589,-73.980015,8.6,2023-07-25 12:42:44+00:00,44.0,POINT (989791.9901825242 191970.25413155055),POINT (989811.1250662439 191967.34386902303),19.35493226406861
40.693591,-73.98008,8.6,2023-07-25 12:42:45+00:00,45.0,POINT (989773.9650303011 191970.9786847543),POINT (989791.9901825242 191970.25413155055),18.039708700802933
